Dates;Type;Price;Size
1/16/2023 3:00:50 AM;BEST_BID;9;1361
1/16/2023 3:00:50 AM;BEST_ASK;9.66;37959
1/16/2023 8:15:00 AM;BEST_BID;0;140
1/16/2023 8:52:46 AM;BEST_ASK;9.56;130
1/16/2023 9:00:23 AM;BEST_BID;9.5;100
1/16/2023 9:00:23 AM;BEST_ASK;9.66;37949
1/16/2023 9:00:23 AM;TRADE;9.66;130
1/16/2023 9:00:23 AM;TRADE;9.66;10
1/16/2023 9:02:23 AM;BEST_BID;9.4;4059
1/16/2023 9:02:23 AM;TRADE;9.5;100
1/16/2023 9:02:23 AM;TRADE;9.4;1191
1/16/2023 9:02:34 AM;BEST_BID;9.4;59
1/16/2023 9:02:34 AM;TRADE;9.4;4000
1/16/2023 9:03:03 AM;BEST_ASK;9.64;550
1/16/2023 9:03:58 AM;BEST_ASK;9.5;4973
1/16/2023 9:04:40 AM;BEST_BID;9.3;372
1/16/2023 9:04:40 AM;BEST_ASK;9.4;941
1/16/2023 9:04:40 AM;TRADE;9.4;59
1/16/2023 9:05:02 AM;BEST_BID;9.2;31
1/16/2023 9:05:02 AM;BEST_ASK;9.5;4973
1/16/2023 9:05:02 AM;TRADE;9.3;372
1/16/2023 9:05:02 AM;TRADE;9.2;569
1/16/2023 9:05:57 AM;BEST_BID;9.02;1831
1/16/2023 9:05:57 AM;TRADE;9.2;31
1/16/2023 9:05:57 AM;TRADE;9.02;1269
1/16/2023 9:06:48 AM;TRADE;9.02;500
1/16/2023 9:06:48 AM;BEST_BID;9.02;1331
1/16/2023 9:07:02 AM;BEST_BID;9.02;231
1/16/2023 9:07:13 AM;BEST_BID;9.1;800
1/16/2023 9:07:30 AM;BEST_ASK;9.48;550
1/16/2023 9:07:49 AM;BEST_BID;9.1;300
1/16/2023 9:07:49 AM;TRADE;9.1;500
1/16/2023 9:08:10 AM;BEST_BID;9.1;1300
1/16/2023 9:08:18 AM;BEST_BID;9.1;1000
1/16/2023 9:08:30 AM;BEST_BID;9.12;400
1/16/2023 9:08:42 AM;BEST_BID;9.12;900
1/16/2023 9:09:02 AM;BEST_ASK;9.32;550
1/16/2023 9:09:02 AM;BEST_ASK;9.32;2464
1/16/2023 9:10:00 AM;BEST_BID;9.12;400
1/16/2023 9:11:44 AM;BEST_BID;9.14;2000
1/16/2023 9:15:32 AM;BEST_ASK;9.24;550
1/16/2023 9:16:03 AM;BEST_ASK;9.28;550
1/16/2023 9:17:32 AM;BEST_BID;9;1192
1/16/2023 9:17:32 AM;TRADE;9.14;2000
1/16/2023 9:17:32 AM;TRADE;9.12;400
1/16/2023 9:17:32 AM;TRADE;9.1;1000
1/16/2023 9:17:32 AM;TRADE;9.02;231
1/16/2023 9:17:32 AM;TRADE;9;1111
1/16/2023 9:17:32 AM;TRADE;9;250
1/16/2023 9:17:32 AM;TRADE;9;108
1/16/2023 9:17:32 AM;BEST_ASK;9.28;2464
1/16/2023 9:17:32 AM;BEST_ASK;9.28;550
1/16/2023 9:17:46 AM;BEST_ASK;9.26;2000
1/16/2023 9:17:58 AM;BEST_ASK;9.24;550
1/16/2023 9:18:01 AM;BEST_ASK;9.24;600
1/16/2023 9:18:40 AM;BEST_BID;9;392
1/16/2023 9:18:40 AM;TRADE;9;800
1/16/2023 9:18:52 AM;TRADE;9;392
1/16/2023 9:18:52 AM;BEST_BID;8.76;500
1/16/2023 9:18:52 AM;BEST_ASK;9;208
1/16/2023 9:18:52 AM;BEST_BID;8.76;2659
1/16/2023 9:18:52 AM;BEST_BID;8.76;500
1/16/2023 9:18:56 AM;BEST_ASK;9.24;600
1/16/2023 9:19:00 AM;BEST_ASK;9;2000
1/16/2023 9:19:08 AM;BEST_BID;8.84;900
1/16/2023 9:19:31 AM;BEST_BID;8.8;900
1/16/2023 9:19:46 AM;BEST_BID;9;3000
1/16/2023 9:19:46 AM;BEST_ASK;9.24;600
1/16/2023 9:19:46 AM;TRADE;9;2000
1/16/2023 9:19:46 AM;BEST_ASK;9.24;2514
1/16/2023 9:19:46 AM;BEST_ASK;9.24;600
1/16/2023 9:19:55 AM;BEST_BID;9.02;500
1/16/2023 9:20:05 AM;BEST_ASK;9.24;578
1/16/2023 9:20:19 AM;BEST_BID;9.06;900
1/16/2023 9:21:25 AM;BEST_ASK;9.2;550
1/16/2023 9:21:25 AM;BEST_ASK;9.2;2464
1/16/2023 9:23:11 AM;BEST_BID;9.06;1400
1/16/2023 9:23:21 AM;BEST_ASK;9.18;578
1/16/2023 9:24:04 AM;BEST_ASK;9.12;578
1/16/2023 9:26:05 AM;BEST_BID;9.06;500
1/16/2023 9:26:24 AM;BEST_BID;9;900
1/16/2023 9:26:24 AM;BEST_ASK;9.06;50
1/16/2023 9:26:24 AM;TRADE;9.06;500
1/16/2023 9:26:42 AM;BEST_ASK;9.12;578
1/16/2023 9:27:07 AM;BEST_BID;9.12;102
1/16/2023 9:27:07 AM;BEST_ASK;9.18;50
1/16/2023 9:27:07 AM;TRADE;9.12;578
1/16/2023 9:27:25 AM;BEST_BID;9.14;1000
1/16/2023 9:27:32 AM;BEST_ASK;9.2;550
1/16/2023 9:27:39 AM;BEST_ASK;9.2;50
1/16/2023 9:27:39 AM;TRADE;9.2;500
1/16/2023 9:27:44 AM;BEST_ASK;9.26;2000
1/16/2023 9:27:44 AM;TRADE;9.2;50
1/16/2023 9:28:14 AM;TRADE;9.26;32
1/16/2023 9:28:14 AM;BEST_ASK;9.26;1968
1/16/2023 9:28:27 AM;TRADE;9.26;1968
1/16/2023 9:28:27 AM;TRADE;9.5;32
1/16/2023 9:28:27 AM;BEST_ASK;9.5;4941
1/16/2023 9:28:27 AM;BEST_ASK;9.5;6855
1/16/2023 9:28:27 AM;BEST_ASK;9.5;4941
1/16/2023 9:28:47 AM;BEST_ASK;9.48;2900
1/16/2023 9:28:57 AM;BEST_ASK;9.46;1000
1/16/2023 9:29:02 AM;BEST_BID;9.16;250
1/16/2023 9:30:17 AM;BEST_BID;9.2;55
1/16/2023 9:31:14 AM;BEST_BID;9.22;1000
1/16/2023 9:31:44 AM;BEST_ASK;9.46;3900
1/16/2023 9:34:45 AM;BEST_BID;9.26;12
1/16/2023 9:36:44 AM;BEST_BID;9.3;8
1/16/2023 9:44:33 AM;BEST_BID;9.22;1000
1/16/2023 9:44:36 AM;BEST_BID;9.2;55
1/16/2023 9:44:36 AM;TRADE;9.22;1000
1/16/2023 9:44:40 AM;BEST_BID;9.04;960
1/16/2023 9:44:49 AM;TRADE;9.46;4
1/16/2023 9:44:49 AM;BEST_ASK;9.46;3896
1/16/2023 9:51:34 AM;BEST_ASK;9.46;11496
1/16/2023 9:59:42 AM;BEST_BID;9.06;600
1/16/2023 10:07:53 AM;BEST_ASK;9.46;8996
1/16/2023 10:07:53 AM;TRADE;9.46;996
1/16/2023 10:07:53 AM;TRADE;9.46;1504
1/16/2023 10:08:01 AM;BEST_ASK;9.46;7600
1/16/2023 10:08:06 AM;BEST_ASK;9.44;1000
1/16/2023 10:08:29 AM;BEST_BID;9.06;3800
1/16/2023 10:08:33 AM;BEST_BID;9.06;3200
1/16/2023 10:08:54 AM;BEST_BID;9.08;250
1/16/2023 10:09:33 AM;BEST_BID;8.8;1900
1/16/2023 10:09:33 AM;BEST_ASK;9;2190
1/16/2023 10:09:33 AM;TRADE;9.08;250
1/16/2023 10:09:33 AM;TRADE;9.06;3200
1/16/2023 10:09:33 AM;TRADE;9.04;960
1/16/2023 10:09:33 AM;TRADE;9;1000
1/16/2023 10:09:48 AM;BEST_BID;8.82;1777
1/16/2023 10:10:24 AM;BEST_BID;8.84;900
1/16/2023 10:10:58 AM;BEST_ASK;9;1190
1/16/2023 10:10:58 AM;TRADE;9;1000
1/16/2023 10:11:19 AM;BEST_ASK;9.38;2000
1/16/2023 10:11:19 AM;TRADE;9;1190
1/16/2023 10:11:24 AM;BEST_BID;8.86;799
1/16/2023 10:11:26 AM;BEST_ASK;9.36;3000
1/16/2023 10:11:46 AM;BEST_BID;8.9;250
1/16/2023 10:12:18 AM;BEST_ASK;9.34;2000
1/16/2023 10:12:40 AM;BEST_ASK;9.3;3000
1/16/2023 10:13:18 AM;BEST_BID;8.84;900
1/16/2023 10:15:12 AM;BEST_BID;8.86;600
1/16/2023 10:15:21 AM;BEST_ASK;9.3;2990
1/16/2023 10:15:21 AM;TRADE;9.3;10
1/16/2023 10:15:28 AM;BEST_ASK;9.28;2990
1/16/2023 10:16:00 AM;BEST_ASK;9.26;2055
1/16/2023 10:16:06 AM;BEST_ASK;9.24;1000
1/16/2023 10:16:08 AM;BEST_ASK;9.24;3990
1/16/2023 10:16:11 AM;BEST_ASK;9.22;2990
1/16/2023 10:16:17 AM;BEST_BID;8.84;900
1/16/2023 10:16:21 AM;BEST_ASK;9;2055
1/16/2023 10:16:54 AM;BEST_ASK;9.22;2990
1/16/2023 10:17:26 AM;BEST_BID;8.86;250
1/16/2023 10:19:24 AM;BEST_BID;8.88;500
1/16/2023 10:19:30 AM;BEST_ASK;9.2;1000
1/16/2023 10:19:42 AM;BEST_ASK;9.18;2990
1/16/2023 10:20:07 AM;BEST_BID;8.88;1400
1/16/2023 10:20:16 AM;BEST_BID;8.9;900
1/16/2023 10:20:25 AM;BEST_BID;8.92;300
1/16/2023 10:29:59 AM;BEST_BID;8.9;900
1/16/2023 10:36:37 AM;BEST_ASK;9.16;1000
1/16/2023 10:37:31 AM;BEST_BID;9.04;12
1/16/2023 10:37:59 AM;BEST_ASK;9.14;2990
1/16/2023 10:38:05 AM;BEST_ASK;9.14;3040
1/16/2023 10:38:10 AM;BEST_BID;8.9;900
1/16/2023 10:38:14 AM;BEST_BID;8.8;141
1/16/2023 10:38:14 AM;TRADE;8.9;900
1/16/2023 10:38:14 AM;TRADE;8.82;1777
1/16/2023 10:38:14 AM;TRADE;8.82;1864
1/16/2023 10:38:14 AM;TRADE;8.82;600
1/16/2023 10:38:14 AM;TRADE;8.8;859
1/16/2023 10:38:14 AM;BEST_BID;8.76;500
1/16/2023 10:38:14 AM;BEST_ASK;8.8;359
1/16/2023 10:38:14 AM;TRADE;8.8;141
1/16/2023 10:38:38 AM;BEST_BID;8.62;260
1/16/2023 10:38:38 AM;TRADE;8.76;500
1/16/2023 10:39:21 AM;BEST_BID;8.64;1000
1/16/2023 10:40:42 AM;BEST_BID;8.64;540
1/16/2023 10:40:42 AM;TRADE;8.64;460
1/16/2023 10:41:08 AM;BEST_BID;8.8;1
1/16/2023 10:41:08 AM;BEST_ASK;8.92;363
1/16/2023 10:41:08 AM;TRADE;8.8;359
1/16/2023 10:41:23 AM;BEST_BID;8.7;1
1/16/2023 10:41:33 AM;BEST_ASK;8.92;351
1/16/2023 10:41:33 AM;TRADE;8.92;12
1/16/2023 10:41:33 AM;BEST_ASK;9.1;1000
1/16/2023 10:41:47 AM;BEST_BID;8.7;501
1/16/2023 10:41:48 AM;BEST_BID;8.7;500
1/16/2023 10:41:48 AM;BEST_ASK;9.1;999
1/16/2023 10:41:48 AM;TRADE;9.1;1
1/16/2023 10:41:50 AM;BEST_ASK;9.08;3090
1/16/2023 10:42:02 AM;BEST_BID;8.72;540
1/16/2023 10:42:12 AM;BEST_BID;8.74;250
1/16/2023 10:45:32 AM;BEST_BID;8.74;850
1/16/2023 10:46:49 AM;BEST_BID;8.74;1350
1/16/2023 10:47:10 AM;BEST_BID;8.76;780
