symbol;twoHundredDayAverageChangePercent;fiftyTwoWeekLowChangePercent;averageAnalystRating;language;dividendYield;regularMarketDayRange;earningsTimestampEnd;epsForward;regularMarketDayHigh;twoHundredDayAverageChange;askSize;twoHundredDayAverage;bookValue;fiftyTwoWeekHighChange;marketCap;fiftyTwoWeekRange;fiftyDayAverageChange;exchangeDataDelayedBy;firstTradeDateMilliseconds;averageDailyVolume3Month;dividendRate;trailingAnnualDividendRate;fiftyTwoWeekChangePercent;fiftyTwoWeekLow;market;regularMarketVolume;quoteSourceName;messageBoardId;priceHint;exchange;sourceInterval;regularMarketDayLow;shortName;region;fiftyDayAverageChangePercent;fullExchangeName;earningsTimestampStart;financialCurrency;gmtOffSetMilliseconds;regularMarketOpen;regularMarketTime;regularMarketChangePercent;quoteType;trailingAnnualDividendYield;fiftyTwoWeekLowChange;averageDailyVolume10Day;fiftyTwoWeekHighChangePercent;typeDisp;trailingPE;tradeable;currency;sharesOutstanding;fiftyTwoWeekHigh;regularMarketPreviousClose;exchangeTimezoneName;bidSize;regularMarketChange;priceEpsCurrentYear;cryptoTradeable;fiftyDayAverage;epsCurrentYear;exchangeTimezoneShortName;customPriceAlertConfidence;marketState;regularMarketPrice;forwardPE;earningsTimestamp;ask;epsTrailingTwelveMonths;bid;triggerable;priceToBook;longName;prevName;nameChangeDate;ipoExpectedDate;underlyingSymbol
NOVO-B.CO;0.19276546;0.73159736;2.6;en-US;1.02;688.5 - 706.2;1706682600.0;21.77;706.2;111.770996;0.0;579.829;20.771;-50.600037;3085822066688.0;399.4 - 742.2;19.461975;0;978768000000;2954463.0;7.08;7.075;67.45763;399.4;dk_market;2011358;Delayed Quote;finmb_323452;2;CPH;15;688.5;Novo Nordisk B A/S;US;0.028955325;Copenhagen;1706682600.0;DKK;3600000;696.1;1699631976;-0.5607512;EQUITY;0.0101725375;292.19998;2535655.0;-0.06817574;Equity;41.314217;False;DKK;3386990080.0;742.2;695.5;Europe/Copenhagen;0.0;-3.9000244;38.167767;False;672.138;18.12;CET;LOW;CLOSED;691.6;31.768486;1706682600.0;691.6;16.74;691.6;False;33.29642;Novo Nordisk A/S;;;;
AZN.ST;-0.07327228;0.053261288;1.9;en-US;2.25;1352.0 - 1405.0;;92.71;1405.0;-107.88501;0.0;1472.385;24.014;-251.5;2117253726208.0;1295.5 - 1616.0;-97.920044;0;946886400000;290690.0;30.71;2.9;2.1332383;1295.5;se_market;545457;Delayed Quote;finmb_336774;2;STO;15;1352.0;AstraZeneca PLC;US;-0.06695753;Stockholm;;USD;3600000;1404.0;1699633787;-3.0206113;EQUITY;0.002061123;69.0;253667.0;-0.15563118;Equity;33.00677;False;SEK;1549910016.0;1616.0;1407.0;Europe/Stockholm;0.0;-42.5;16.8665;False;1462.42;80.9;CET;LOW;CLOSED;1364.5;14.717937;;1364.0;41.34;1363.5;False;56.821022;AstraZeneca PLC;;;;
EQNR.OL;0.1328687;0.3071402;2.7;en-US;3.69;361.0 - 365.75;1707289200.0;45.74;365.75;42.72699;0.0;321.573;16.398;-18.550018;1076990967808.0;278.7 - 382.85;5.470978;15;946886400000;2756148.0;13.45;1.2;2.9096007;278.7;no_market;1654305;Delayed Quote;finmb_989228;2;OSL;15;361.0;EQUINOR;US;0.0152467545;Oslo;1707289200.0;USD;3600000;361.05;1699630161;0.9001523;EQUITY;0.0033236397;85.599976;2442585.0;-0.048452444;Equity;5.872018;False;NOK;2956329984.0;382.85;361.05;Europe/Oslo;0.0;3.25;8.5758;False;358.829;42.48;CET;LOW;CLOSED;364.3;7.964582;1707289200.0;364.2;62.04;364.1;False;22.216122;Equinor ASA;;;;
ABB.ST;0.0076075974;0.24879615;2.0;en-US;2.43;386.5 - 390.3;;22.38;390.3;2.9370117;0.0;386.063;7.142;-40.700012;725636677632.0;311.5 - 429.7;-3.1279907;0;989305200000;714880.0;9.46;0.908;18.12936;311.5;se_market;639282;Delayed Quote;finmb_18527;2;STO;15;386.5;ABB Ltd;US;-0.007976963;Stockholm;;USD;3600000;390.0;1699633783;-0.8664613;EQUITY;0.0023139655;77.5;537229.0;-0.09471727;Equity;16.781708;False;SEK;1845440000.0;429.7;392.4;Europe/Stockholm;0.0;-3.399994;17.65774;False;392.128;22.03;CET;LOW;CLOSED;389.0;17.381592;;389.5;23.18;389.3;False;54.466534;ABB Ltd;;;;
ATCO-B.ST;0.05913215;0.2394406;;en-US;1.74;130.4 - 132.45;;;132.45;7.372452;0.0;124.67755;17.579;-8.899994;717189939200.0;106.54 - 140.95;4.3490067;0;944035200000;1616116.0;2.3;2.3;10.910463;106.54;se_market;1503924;Delayed Quote;finmb_418524;2;STO;15;130.4;Atlas Copco AB ser. B;US;0.034056168;Stockholm;;SEK;3600000;132.0;1699633775;-0.78888285;EQUITY;0.01728024;25.510002;1462386.0;-0.06314292;Equity;23.580359;False;SEK;1560880000.0;140.95;133.1;Europe/Stockholm;0.0;-1.050003;;False;127.701;;CET;LOW;CLOSED;132.05;;;131.9;5.6;131.85;False;7.5118036;Atlas Copco AB;;;;
ATCO-A.ST;0.068544626;0.27260548;2.6;en-US;1.51;150.45 - 152.9;1706180400.0;6.02;152.9;9.7504425;0.0;142.24956;17.579;-13.0;717189152768.0;119.44 - 165.0;5.248993;0;946886400000;4146535.0;2.3;2.3;13.449764;119.44;se_market;2814747;Delayed Quote;finmb_418524;2;STO;15;150.45;Atlas Copco AB ser. A;US;0.03576802;Stockholm;1706180400.0;SEK;3600000;152.75;1699633784;-1.170353;EQUITY;0.014954486;32.559998;3474040.0;-0.07878788;Equity;27.191412;False;SEK;3312329984.0;165.0;153.8;Europe/Stockholm;0.0;-1.800003;26.116838;False;146.751;5.82;CET;LOW;CLOSED;152.0;25.24917;1706180400.0;151.75;5.59;151.65;False;8.646681;Atlas Copco AB;;;;
INVE-A.ST;-0.028878123;0.06459142;;en-US;2.14;204.2 - 207.0;;;207.0;-6.102005;0.0;211.302;215.984;-21.800003;637977100288.0;192.75 - 227.0;-3.3200073;0;946886400000;1380191.0;4.4;4.4;2.089548;192.75;se_market;485439;Delayed Quote;finmb_873951;2;STO;15;204.2;Investor AB ser. A;US;-0.01592177;Stockholm;;SEK;3600000;206.3;1699633771;-1.0130275;EQUITY;0.021225277;12.449997;569377.0;-0.09603526;Equity;5.2995863;False;SEK;1246759936.0;227.0;207.3;Europe/Stockholm;0.0;-2.100006;;False;208.52;;CET;LOW;CLOSED;205.2;;;205.4;38.72;205.3;False;0.9500704;Investor AB (publ);;;;
INVE-B.ST;-0.0145385275;0.10843239;2.2;en-US;2.13;205.7 - 208.6;1705661940.0;13.94;208.6;-3.0523987;0.0;209.9524;215.984;-16.700012;637976117248.0;186.66 - 223.6;-3.4408112;0;946886400000;2807231.0;4.4;4.4;7.6818943;186.66;se_market;1868600;Delayed Quote;finmb_873951;2;STO;15;205.7;Investor AB ser. B;US;-0.016358268;Stockholm;1705661940.0;SEK;3600000;207.95;1699633770;-1.0047877;EQUITY;0.021052632;20.23999;2249325.0;-0.074687;Equity;5.344872;False;SEK;1815900032.0;223.6;209.0;Europe/Stockholm;0.0;-2.100006;9.824311;False;210.3408;21.06;CET;LOW;CLOSED;206.9;14.842181;1705661940.0;206.85;38.71;206.8;False;0.95794135;Investor AB (publ);;;;
VOLV-B.ST;0.02692315;0.18947935;2.3;en-US;3.16;218.4 - 221.6;1706250000.0;20.95;221.6;5.8097534;0.0;215.79025;85.533;-14.0;454701056000.0;186.3 - 235.6;-2.2299957;0;946886400000;2775276.0;7.0;7.0;15.344572;186.3;se_market;2656208;Delayed Quote;finmb_312375;2;STO;15;218.4;Volvo, AB ser. B;US;-0.009962899;Stockholm;1706250000.0;SEK;3600000;220.35;1699633781;-0.22512381;EQUITY;0.031517334;35.300003;2675401.0;-0.05942275;Equity;10.151169;False;SEK;1588470016.0;235.6;222.1;Europe/Stockholm;0.0;-0.5;8.403489;False;223.83;26.37;CET;LOW;CLOSED;221.6;10.577565;1706250000.0;221.2;21.83;221.15;False;2.5908132;AB Volvo (publ);;;;
VOLV-A.ST;0.030344749;0.20315793;;en-US;3.06;225.0 - 228.6;;;228.6;6.7325134;0.0;221.8675;85.533;-11.199997;454699122688.0;190.0 - 239.8;1.9000092;0;946886400000;124577.0;7.0;7.0;13.056385;190.0;se_market;152529;Delayed Quote;finmb_312375;2;STO;15;225.0;Volvo, AB ser. A;US;0.008381161;Stockholm;;SEK;3600000;227.4;1699633795;-0.17466983;EQUITY;0.030567685;38.600006;145576.0;-0.046705574;Equity;10.471828;False;SEK;444987008.0;239.8;229.0;Europe/Stockholm;0.0;-0.3999939;;False;226.7;;CET;LOW;CLOSED;228.6;;;228.2;21.83;228.0;False;2.6726527;AB Volvo (publ);;;;
